"GEO_ID","NAME","B14001_001E","B14001_001M","B14001_002E","B14001_002M","B14001_003E","B14001_003M","B14001_004E","B14001_004M","B14001_005E","B14001_005M","B14001_006E","B14001_006M","B14001_007E","B14001_007M","B14001_008E","B14001_008M","B14001_009E","B14001_009M","B14001_010E","B14001_010M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Enrolled in school:","Margin of Error!!Total:!!Enrolled in school:","Estimate!!Total:!!Enrolled in school:!!Enrolled in nursery school, preschool","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in nursery school, preschool","Estimate!!Total:!!Enrolled in school:!!Enrolled in kindergarten","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in kindergarten","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 1 to grade 4","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 1 to grade 4","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 5 to grade 8","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 5 to grade 8","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 9 to grade 12","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 9 to grade 12","Estimate!!Total:!!Enrolled in school:!!Enrolled in college, undergraduate years","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in college, undergraduate years","Estimate!!Total:!!Enrolled in school:!!Graduate or professional school","Margin of Error!!Total:!!Enrolled in school:!!Graduate or professional school","Estimate!!Total:!!Not enrolled in school","Margin of Error!!Total:!!Not enrolled in school"
"0400000US01","Alabama","4739065","5744","1164195","12011","65500","5083","60362","4098","236267","8299","252866","8105","248164","6468","245959","8711","55077","4820","3574870","10948"
"0400000US02","Alaska","700993","1595","180074","4716","11471","1831","11916","1842","40280","2213","37128","2434","37219","2034","32585","3262","9475","1735","520919","4441"
"0400000US04","Arizona","7039085","6328","1773809","15025","91621","6246","85086","5156","354299","10105","390888","9680","386787","7147","379433","11720","85695","5791","5265276","15109"
"0400000US05","Arkansas","2914455","3961","738272","10237","50302","4115","38926","3528","157360","5634","155462","6048","159614","5848","144756","6861","31852","3346","2176183","10340"
"0400000US06","California","38142157","15237","10305759","30556","604513","12938","501476","14490","1895898","21436","2026836","24043","2133603","15633","2602279","24767","541154","12317","27836398","31416"
"0400000US08","Colorado","5569826","4911","1406414","12194","94038","4898","69622","4889","272713","6649","294975","6562","290150","5352","300591","8436","84325","5126","4163412","11933"
"0400000US09","Connecticut","3461616","3968","882104","10052","52328","3972","42818","2885","159068","6293","167795","7003","194410","4895","208462","6886","57223","4678","2579512","9475"
"0400000US10","Delaware","942365","2429","227551","4923","14393","1745","10699","1812","44633","3326","45858","3696","49508","2354","49071","3122","13389","1992","714814","5028"
"0400000US11","District of Columbia","679463","2023","169418","4704","17354","2173","9221","1870","28171","2658","24894","2625","19289","1658","46376","3046","24113","2462","510045","4631"
